Rotational_Speed_[rpm],Abs_Meas._Wind_Vel._at_Hub_[m/s],Momentary_Aerodynamic_Power_[W],Momentary_Aerodynamic_Torque_[Nm],Momentary_Aerodynamic_Thrust_[N]
5.004000000000004,33.44231174101058,-1530.2570355405458,-2920.2443406897714,15128.400735670095
5.004000000000004,33.341725325686916,712.7054992646356,1360.0726030438814,14995.63233659286
5.004000000000004,33.21087449410594,2521.823911672642,4812.471123785505,14946.686645080257
5.004000000000004,33.58169776423429,3774.5299494588585,7203.051835479391,14960.636276060757
5.004000000000004,34.5718137841061,4575.2859499313145,8731.164420910594,14985.925202733291
5.004000000000004,35.24668764012023,5035.761588430853,9609.909754353748,15043.20245885992
5.004000000000004,34.87917085572515,5255.108455054058,10028.500415184775,15148.028561238296
5.004000000000004,34.040507769090375,5373.871864520082,10255.14724577499,15196.016919078631
5.004000000000004,33.65460357629594,5491.99427200129,10480.576785780879,15081.55929608185
5.004000000000004,33.702384932814724,5526.435019166249,10546.31031707277,14839.306079310778
5.004000000000004,33.53622951388024,5298.838020431155,10111.971025920448,14520.298101416605
5.004000000000004,32.948026357260375,4872.284521416647,9297.943960329128,14162.840319657958
5.004000000000004,32.409925526229515,4549.2086963920765,8681.39522348097,13943.077517201245
5.004000000000004,32.359111525033676,4372.793263704365,8344.739279639292,13933.219304761766
5.004000000000004,32.50059830195022,4071.286999752894,7769.371511056215,13814.523567675613
5.004000000000004,32.19489640293203,3693.619715936888,7048.6568232473865,13359.749950835434
5.004000000000004,31.482530744386366,3704.281415398308,7069.001535201694,12928.557765248308
5.004000000000004,31.0317710294422,4161.237875630936,7941.0281680376565,12954.865013551784
5.004000000000004,31.149013772365684,4384.56386673848,8367.208957035586,13305.86425270737
5.004000000000004,31.665563912178573,3808.3484616121737,7267.594877398144,13606.30220908396
5.004000000000004,32.59963428588009,2664.232963965381,5084.239205825215,13831.119944692724
5.004000000000004,34.06342759091669,1555.5614707574018,2968.526339651826,14188.91926887133
5.004000000000004,35.548066784996756,957.3652063735332,1826.9707477053885,14670.202864463143
5.004000000000004,35.980918374524286,1163.521272337165,2220.385543576354,15002.735505442273
5.004000000000004,34.90491363786076,1900.5890598871267,3626.9573242829233,15018.96682548711
5.004000000000004,33.3136435787102,2238.2226207717063,4271.276269052822,14936.43015872134
5.004000000000004,32.60846941312123,1760.1910192446464,3359.0308605605724,15080.705669838704
5.004000000000004,32.902957121575966,1273.4959119676018,2430.249028519897,15338.878437364854
5.004000000000004,33.23899751656892,1572.4985266272663,3000.8430629242694,15308.013310760394
5.004000000000004,33.13585800856135,2264.0709146948866,4320.596807965489,14995.379222035437
5.004000000000004,32.97461197248718,2543.349524098232,4853.558171253237,14749.556431897352
5.004000000000004,33.21148867156167,2411.126896861452,4601.236303509272,14545.611217831998
5.004000000000004,33.782081405284345,2420.418862603232,4618.970380230836,14071.412572679264
5.004000000000004,33.97996361414367,2703.284703376754,5158.772876553896,13430.663953285637
5.004000000000004,33.02783270088753,2898.0703954266173,5530.485743372713,13066.719361036045
5.004000000000004,31.178830433369413,2837.419001722549,5414.7385592840155,13070.227405408985
5.004000000000004,29.761653259036386,2767.553344449383,5281.410711388284,13100.984399558864
5.004000000000004,29.624654063316346,2868.7346885819984,5474.5006750529965,12929.51259722195
5.004000000000004,30.159728364412732,2959.9459985671783,5648.564227325147,12642.873072911938
